country	start	end	number	front	duration
Germany	8/5/1914	11/11/1918	5490000	Western	1560
France	8/7/1914	11/11/1918	4808000	Western	1558
Britain	8/23/1914	11/11/1918	2264000	Western	1542
America	5/20/1918	11/11/1918	286000	Western	176
Belgium	8/5/1914	10/31/1914	93000	Western	88
Portugal	4/4/1917	11/11/1918	22000	Western	587
Italy	7/15/1918	11/11/1918	21000	Western	120
Russia	8/17/1914	12/15/1917	9347000	Eastern	1217
Austria	8/17/1914	12/15/1917	3510000	Eastern	1217
Germany	8/17/1914	12/15/1917	1469000	Eastern	1217
Romania	8/27/1916	12/9/1917	536000	Eastern	470
Bulgaria	8/27/1916	12/9/1917	30000	Eastern	470
Italy	6/23/1915	11/3/1918	2150000	Italian	1230
Austria	6/23/1915	11/3/1918	1420000	Italian	1230
Germany	10/24/1917	11/3/1918	203000	Italian	376
Serbia	8/16/1914	11/3/1918	481000	Balkans	1541
Austria	8/16/1914	11/3/1918	360000	Balkans	1541
Bulgaria	10/14/1915	9/29/1918	267000	Balkans	1082
Britain	8/1/1916	11/3/1918	190000	Balkans	825
Turkey	4/25/1915	1/9/1916	175000	Balkans	260
France	8/1/1916	11/3/1918	75000	Balkans	825
Italy	8/1/1916	11/3/1918	40000	Balkans	825
Greece	7/2/1917	11/3/1918	27000	Balkans	490
Montenegro	1/1/1916	2/1/1916	23000	Balkans	32
